loan_id,date,customer_age,total_paid,total_due_today,balance,days_past_due,closing_balance,advance,balance_due_to_date,arrears,balance_due_status,payment,expected_payment,first_payment,first_expected_payment,account_status_l1,account_status_l2,return_date,sale_date,credit_check_done,payment_amount,adjustment_amount,prepayment_amount,deposit,weekly_rate,credit_expiry,next_invoice_date,discount,overpayment_amount,max_payment_date,initial_pay,total_paid_with_adjustments_15d
recKb31TCx3PmqcQC,3/31/2025,549,45221,44479.0,0.0,0,0.0,742.0,742.0,0.0,advance,0,0.0,0,0,Paid Off Loan,Paid Off,None,9/29/2023,Y LOAN,,,0,5999.0,740.0,10/4/2024,4/4/2025,0.0,742.0,9/27/2024,6739,45221
recS26xxRDLxGS8Sf,3/31/2025,7,32399,31749.0,116850.0,0,116850.0,650.0,650.0,0.0,advance,0,2350.0,0,0,New Active,Active,None,3/24/2025,Y LOAN,,,0,27049.0,2350.0,4/7/2025,4/7/2025,0.0,0.0,12/24/2025,29399,32399
reckEdHLMjVN2vCQB,3/31/2025,77,16049,22589.0,50140.0,35,50140.0,0.0,-6540.0,6540.0,Arrears,0,1090.0,0,0,Blocked 31-60,PAR 30,None,1/13/2025,Y LOAN,,,0,9509.0,1090.0,2/24/2025,4/7/2025,0.0,0.0,12/18/2025,10599,16049
recUlZVrX7BqfduHt,3/31/2025,298,65189,65259.0,11950.0,4,11950.0,0.0,-70.0,70.0,Arrears,1050,0.0,0,0,Lost Write Off,PAR 30,None,6/6/2024,Y LOST,1050.0,0.0,0,8499.0,1320.0,3/27/2025,4/3/2025,0.0,0.0,3/31/2025,9819,65189
reclH9umOxgcjLkgs,3/31/2025,242,98199,96949.0,36660.0,0,0.0,1250.0,1250.0,0.0,advance,0,0.0,0,0,Existing Active,Active,None,8/1/2024,Y LOAN,,,0,18899.0,2230.0,4/3/2025,4/3/2025,0.0,0.0,7/17/2025,21129,98199
recHTAZvMIKsjfdgQ,3/31/2025,571,44769,54239.0,0.0,0,0.0,0.0,-9470.0,9470.0,Arrears,0,0.0,0,0,Paid Off Loan,Paid Off,None,9/7/2023,Y LOAN,,,0,8999.0,870.0,6/20/2024,4/3/2025,9470.0,0.0,3/6/2024,9869,44769
rec8uUDFc7HdjR8hc,3/31/2025,485,89970,89939.0,0.0,0,0.0,31.0,31.0,0.0,advance,0,0.0,0,0,Paid Off Loan,Paid Off,None,12/2/2023,Y LOAN,,,0,13499.0,1470.0,11/30/2024,4/5/2025,0.0,31.0,11/23/2024,14969,89970
receDlyiQSMpe5M0T,3/31/2025,500,25259,89939.0,64680.0,444,64680.0,0.0,-64680.0,64680.0,Arrears,0,0.0,0,0,Write Off,PAR 30,None,11/17/2023,Y LOAN,,,0,13499.0,1470.0,1/12/2024,4/4/2025,0.0,0.0,1/5/2024,14969,25259
recY7ddsx5X5N287p,3/31/2025,430,52099,52199.0,0.0,0,0.0,0.0,-100.0,100.0,Arrears,0,0.0,0,0,Paid Off Loan,Paid Off,None,1/26/2024,Y LOAN,,,0,7999.0,850.0,1/17/2025,4/4/2025,100.0,0.0,12/30/2024,8849,52099
recvh71vEaz3SLGJp,3/31/2025,83,20099,20099.0,44000.0,0,44000.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,1/7/2025,Y LOAN,,,0,6899.0,1100.0,4/1/2025,4/1/2025,0.0,0.0,4/3/2025,7999,20099
recXMxVJQ5y4qChoI,3/31/2025,98,9101,23399.0,54998.0,84,54998.0,0.0,-14298.0,14298.0,Arrears,0,1100.0,0,0,First Month Default without inventory over 30,FMD,None,12/23/2024,Y LOAN,,,0,6899.0,1100.0,1/6/2025,4/7/2025,0.0,0.0,1/19/2025,7999,9101
recrlyvNjyHv20MbA,3/31/2025,211,32159,32159.0,18060.0,0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,9/1/2024,Y LOAN,,,0,5499.0,860.0,4/6/2025,4/6/2025,0.0,0.0,8/23/2025,6359,32159
rec3q8VSNsYyX3XNi,3/31/2025,100,18699,18699.0,32560.0,0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,12/21/2024,Y LOAN,,,0,5499.0,880.0,4/5/2025,4/5/2025,0.0,0.0,12/12/2025,6379,18699
recQcRHZHZKJW6Mbf,3/31/2025,136,22399,22399.0,27200.0,0,27200.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,11/15/2024,Y LOAN,,,0,5399.0,850.0,4/4/2025,4/4/2025,0.0,0.0,7/4/2025,6249,22399
rec93SntQKsmn6Q4s,3/31/2025,24,10199,13349.0,53550.0,17,53550.0,0.0,-3150.0,3150.0,Arrears,0,0.0,0,0,First Payment Default,FPD,None,3/7/2025,Y LOAN,,,0,9149.0,1050.0,3/14/2025,4/4/2025,0.0,0.0,3/7/2025,10199,10199
recAwVZnZHhFwCq2o,3/31/2025,116,33109,33069.0,49310.0,0,0.0,40.0,40.0,0.0,advance,0,0.0,0,0,Existing Active,Active,None,12/5/2024,Y LOAN,,,0,9099.0,1410.0,4/3/2025,4/3/2025,0.0,0.0,11/27/2025,10509,33109
recUmAYucpcCQ7wmD,3/31/2025,45,16859,16859.0,56700.0,0,56700.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,2/14/2025,Y LOAN,,,0,8039.0,1260.0,4/4/2025,4/4/2025,0.0,0.0,12/26/2025,9299,16859
rec5bfDtLyS6LfqNG,3/31/2025,123,19219,19219.0,26860.0,0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,11/28/2024,Y LOAN,,,0,4999.0,790.0,4/3/2025,4/3/2025,0.0,0.0,11/19/2025,5789,19219
rec3XJNCOOQHPkTfv,3/31/2025,1,8399,8399.0,57630.0,0,57630.0,0.0,0.0,0.0,up to date,0,0.0,0,0,New Active,Active,None,3/30/2025,Y LOAN,,,0,7269.0,1130.0,4/6/2025,4/6/2025,0.0,0.0,12/25/2025,8399,8399
rectTEDXHS23xXlPN,3/31/2025,538,6739,44479.0,37740.0,531,37740.0,0.0,-37740.0,37740.0,Arrears,0,0.0,0,0,First Payment Default,FPD,None,10/10/2023,Y LOAN,,,0,5999.0,740.0,10/17/2023,4/1/2025,0.0,0.0,10/10/2023,6739,6739
recm127KinE9cH3Xc,3/31/2025,30,26669,20259.0,68320.0,0,0.0,6410.0,6410.0,0.0,advance,0,0.0,0,0,New Active,Active,None,3/1/2025,Y LOAN,,,0,12309.0,1590.0,5/3/2025,4/5/2025,0.0,0.0,8/29/2025,13899,26669
recbcbAxhJYINx09Y,3/31/2025,175,20119,20119.0,16120.0,0,0.0,0.0,0.0,0.0,up to date,620,620.0,0,0,Existing Active,Active,None,10/7/2024,Y LOAN,620.0,0.0,0,3999.0,620.0,4/7/2025,4/7/2025,0.0,0.0,6/14/2025,4619,20119
recQuQcl0PryOAf0X,3/31/2025,5,4539,3899.0,26900.0,0,26900.0,640.0,640.0,0.0,advance,100,0.0,0,0,New Active,Active,None,3/26/2025,Y LOAN,100.0,0.0,0,3359.0,540.0,4/9/2025,4/2/2025,0.0,0.0,12/29/2025,3899,4539
recXRcsCUTLd7zptJ,3/31/2025,188,55419,55419.0,41500.0,0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Existing Active,Active,None,9/24/2024,Y LOAN,,,0,10599.0,1660.0,4/1/2025,4/1/2025,0.0,0.0,9/11/2025,12259,55419
rec0HrmbKcHdVBS0N,3/31/2025,23,8300,12659.0,55979.0,0,55979.0,2581.0,2581.0,0.0,advance,0,0.0,0,0,New Active,Active,None,3/8/2025,Y LOAN,,,0,7779.0,1220.0,4/19/2025,4/5/2025,0.0,0.0,12/22/2025,8999,15240
recD5K34miBvvWlja,3/31/2025,362,119959,119959.0,0.0,0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Loan,Paid Off,None,4/3/2024,Y LOAN,,,0,16999.0,1980.0,4/2/2025,4/2/2025,0.0,0.0,3/8/2025,18979,119959
recYE6SmgkqDe2ZzA,3/31/2025,254,31249,35899.0,16650.0,37,16650.0,0.0,-4650.0,4650.0,Arrears,800,0.0,0,0,Blocked 31-60,PAR 30,None,7/20/2024,Y LOAN,800.0,0.0,0,6299.0,800.0,2/22/2025,4/5/2025,0.0,0.0,12/24/2025,7099,31249
recOXtLvqJotPv9fX,3/31/2025,142,39499,39499.0,0.0,0,0.0,0.0,0.0,0.0,up to date,0,0.0,0,0,Paid Off Cash,Paid Off,None,11/9/2024,Y CASH,,,0,7599.0,1180.0,11/16/2024,4/5/2025,0.0,0.0,11/9/2024,39499,39499
recHGSZYHSryd0H6E,3/31/2025,766,61099,,0.0,0,0.0,0.0,,0.0,up to date,0,0.0,0,0,Paid Off Loan,Paid Off,None,2/24/2023,Y LOAN,,,0,9099.0,1000.0,2/2/2024,4/4/2025,0.0,0.0,1/21/2025,13099,61099
recXPk5RAznEOgc83,3/31/2025,159,18739,18719.0,18540.0,0,0.0,20.0,20.0,0.0,advance,0,0.0,0,0,Existing Active,Active,None,10/23/2024,Y LOAN,,,0,3999.0,640.0,4/2/2025,4/2/2025,0.0,0.0,12/19/2025,4639,18739
recBcQ7nPbOqYyhVM,3/31/2025,259,40139,60939.0,40120.0,105,40120.0,0.0,-20800.0,20800.0,Arrears,0,1380.0,0,0,Write Off,PAR 30,None,7/15/2024,Y LOAN,,,0,8499.0,1380.0,12/16/2024,4/7/2025,0.0,0.0,5/28/2025,9879,40139
recBojaSVNU5veQ0M,3/31/2025,312,19069,67899.0,58070.0,256,58070.0,0.0,-48830.0,48830.0,Arrears,0,0.0,0,0,Cancelled Returned past 3 mths,Return,7/30/2024,5/23/2024,Y LOAN,,,0,8499.0,1320.0,7/18/2024,4/3/2025,0.0,0.0,7/14/2024,9819,19069
